"date","time","size","version","os","country","ip_id"
"2015-06-20","16:00:05",65067796,"3.2.1","win","CA",1
"2015-06-20","16:00:17",14616,"3.0.2","src","CN",2
"2015-06-20","16:01:06",14616,"3.2.0","win","VN",3
"2015-06-20","16:01:42",14617,"3.1.0","src","CN",4
"2015-06-20","16:02:35",65067794,"3.2.1","win","CH",5
"2015-06-20","16:02:44",65067794,"3.2.1","win","GR",6
"2015-06-20","16:02:34",14616,"3.1.1","win","CN",7
"2015-06-20","16:03:31",65067794,"3.2.1","win","GB",8
"2015-06-20","16:03:52",65067796,"3.2.1","win","HR",9
"2015-06-20","16:03:51",65067796,"3.2.1","win","AT",10
"2015-06-20","16:04:33",65067796,"3.2.1","win","UZ",11
"2015-06-20","16:04:39",65067797,"3.2.1","win","RU",12
"2015-06-20","16:05:36",65067794,"3.2.1","win","CH",5
"2015-06-20","16:05:51",14616,"3.1.2","src","CN",13
"2015-06-20","16:07:23",65067799,"3.2.1","win","CH",14
"2015-06-20","16:07:47",65067794,"3.2.1","win","GB",15
"2015-06-20","16:07:51",65067796,"3.2.1","win","US",16
"2015-06-20","15:00:02",74628,"3.2.0","win","CN",17
"2015-06-20","15:00:01",73229,"3.2.0","win","CN",17
"2015-06-20","15:00:06",81580,"3.2.0","win","CN",17
"2015-06-20","15:00:28",65067796,"3.2.1","win","GB",18
"2015-06-20","15:00:13",14616,"3.0.2","src","CN",2
"2015-06-20","15:00:40",65067794,"3.2.1","win","US",19
"2015-06-20","15:00:23",72469261,"3.2.1","osx","NL",20
"2015-06-20","15:00:05",14616,"3.1.2","src","CN",21
"2015-06-20","15:01:22",65067799,"3.2.1","win","US",22
"2015-06-20","15:01:24",65067796,"3.2.1","win","US",23
"2015-06-20","15:01:14",65067790,"release.exe","win","PT",24
"2015-06-20","15:01:23",72469261,"3.2.1","osx","US",25
"2015-06-20","15:01:20",65067791,"3.2.1","win","BR",26
"2015-06-20","15:01:03",14616,"3.2.0","win","VN",3
"2015-06-20","15:02:30",14616,"3.1.1","win","CN",7
