"date","time","size","version","os","country","ip_id"
"2015-06-22","23:02:38",72469261,"3.2.1","osx","US",1
"2015-06-22","23:03:54",72469264,"3.2.1","osx","US",2
"2015-06-22","23:04:05",65067799,"3.2.1","win","US",3
"2015-06-22","23:04:03",28607090,"3.1.1","src","US",4
"2015-06-22","23:03:37",14616,"3.0.2","win","CN",5
"2015-06-22","23:03:54",14616,"3.1.1","win","CN",5
"2015-06-22","23:03:57",46336,"3.2.0","win","VN",6
"2015-06-22","23:06:33",75068,"3.2.0","win","CN",7
"2015-06-22","23:06:33",76501,"3.2.0","win","CN",7
"2015-06-22","23:06:31",77760,"3.2.0","win","CN",7
"2015-06-22","23:06:33",76500,"3.2.0","win","CN",7
"2015-06-22","23:07:06",19596759,"3.2.1","osx","US",8
"2015-06-22","23:09:08",521,"3.2.1","src","US",9
"2015-06-22","23:09:51",29198391,"3.2.1","src","US",9
"2015-06-22","23:10:23",65067796,"3.2.1","win","US",10
"2015-06-22","23:12:13",65067791,"3.2.1","win","US",11
"2015-06-22","23:12:49",65067799,"3.2.1","win","US",12
"2015-06-22","23:12:45",65067796,"3.2.1","win","RU",13
"2015-06-22","18:18:33",14616,"3.0.2","src","CN",14
"2015-06-22","18:19:05",65067791,"3.2.1","win","HU",15
"2015-06-22","18:18:22",14616,"2.14.1","win","CN",14
"2015-06-22","18:20:24",65067799,"3.2.1","win","FI",16
"2015-06-22","18:20:40",65067796,"3.2.1","win","CL",17
"2015-06-22","18:21:45",65067799,"3.2.1","win","US",18
"2015-06-22","18:21:40",65067799,"3.2.1","win","IN",19
"2015-06-22","18:22:05",65067796,"3.2.1","win","BR",20
"2015-06-22","18:22:07",65067799,"3.2.1","win","US",21
"2015-06-22","18:23:30",12703840,"3.2.1","win","US",22
"2015-06-22","18:24:07",65067796,"3.2.1","win","US",23
"2015-06-22","18:24:51",65067798,"3.2.1","win","US",24
"2015-06-22","18:26:03",65067800,"3.2.1","win","US",25
"2015-06-22","18:26:16",72469261,"3.2.1","osx","US",26
"2015-06-22","18:26:02",41529720,"3.2.1","win","US",27
"2015-06-22","18:26:26",65067799,"3.2.1","win","BR",28
"2015-06-22","18:26:46",29198391,"3.2.1","src","GT",29
"2015-06-22","18:25:57",31992,"3.2.0","win","CN",30
"2015-06-22","18:27:36",65067796,"3.2.1","win","GB",31
"2015-06-22","18:27:34",65067791,"3.2.1","win","US",32
"2015-06-22","18:28:12",65067800,"3.2.1","win","ES",33
"2015-06-22","20:18:24",65067796,"3.2.1","win","RU",34
"2015-06-22","20:18:43",65067799,"3.2.1","win","US",35
"2015-06-22","20:18:27",14616,"2.14.1","win","CN",14
"2015-06-22","20:19:25",65067796,"3.2.1","win","US",36
"2015-06-22","20:18:40",14616,"3.0.2","src","CN",14
"2015-06-22","20:16:27",14616,"3.1.0","src","CN",14
"2015-06-22","20:20:09",65067796,"3.2.1","win","BR",37
"2015-06-22","20:20:59",33176604,"3.2.1","osx","US",38
"2015-06-22","20:21:27",2286336,"3.2.1","osx","US",38
"2015-06-22","20:21:34",25984830,"3.2.1","osx","US",38
