"date","time","size","version","os","country","ip_id"
"2015-06-19","18:15:00",72469261,"3.2.1","osx","US",1
"2015-06-19","18:15:09",527,"3.2.1","src","US",2
"2015-06-19","18:15:20",29198397,"3.2.1","src","US",2
"2015-06-19","18:16:30",65067791,"3.2.1","win","DE",3
"2015-06-19","18:16:38",110600,"3.2.1","win","EC",4
"2015-06-19","18:17:07",65067795,"3.2.1","win","US",5
"2015-06-19","18:16:56",65067791,"3.2.1","win","CA",6
"2015-06-19","18:16:54",65067800,"3.2.1","win","US",7
"2015-06-19","18:16:50",14616,"3.1.0","src","CN",8
"2015-06-19","18:16:18",14617,"3.1.1","win","CN",9
"2015-06-19","18:17:36",842531,"3.2.1","win","EG",10
"2015-06-19","18:17:31",566168,"3.2.1","win","IN",11
"2015-06-19","18:18:06",65067794,"3.2.1","win","PR",12
"2015-06-19","18:18:00",14616,"3.2.0","win","CN",13
"2015-06-19","18:18:50",65067795,"3.2.1","win","US",14
"2015-06-19","18:19:21",72469264,"3.2.1","osx","US",15
"2015-06-19","18:16:43",14616,"3.0.2","win","CN",16
"2015-06-19","18:19:34",14616,"3.2.0","win","CN",17
"2015-06-19","18:19:59",65067796,"3.2.1","win","IN",11
"2015-06-19","18:21:11",65067793,"3.2.1","win","PT",18
"2015-06-19","18:21:20",65067791,"3.2.1","win","PT",18
"2015-06-19","18:22:26",65067799,"3.2.1","win","US",19
"2015-06-19","18:22:14",65067791,"3.2.1","win","US",20
"2015-06-19","18:22:39",57600,"3.2.1","win","IN",21
"2015-06-19","18:23:17",65067800,"3.2.1","win","US",22
"2015-06-19","18:23:19",65067796,"3.2.1","win","CA",23
"2015-06-19","18:23:59",65067799,"3.2.1","win","US",24
"2015-06-19","18:24:35",65067800,"3.2.1","win","BR",25
"2015-06-19","18:24:22",57692,"3.1.2","src","CN",26
"2015-06-19","18:21:55",14616,"3.2.0","win","CN",27
"2015-06-19","18:24:44",29198391,"3.2.1","src","US",28
"2015-06-19","18:24:39",521,"3.2.1","src","US",28
"2015-06-19","09:00:03",65067796,"3.2.1","win","IT",29
"2015-06-19","09:00:39",14616,"3.1.1","win","CN",16
"2015-06-19","09:01:29",65067800,"3.2.1","win","AT",30
"2015-06-19","09:01:28",65067796,"3.2.1","win","KR",31
"2015-06-19","09:02:04",72469261,"3.2.1","osx","CN",32
"2015-06-19","09:02:22",65067796,"3.2.1","win","BE",33
"2015-06-19","09:02:30",65067799,"3.2.1","win","RU",34
"2015-06-19","09:03:05",521,"3.2.1","src","US",35
"2015-06-19","09:02:31",65067800,"3.2.1","win","DE",36
"2015-06-19","09:02:43",107098,"3.2.1","win","CH",37
"2015-06-19","09:03:10",29198391,"3.2.1","src","US",35
"2015-06-19","09:03:22",65067796,"3.2.1","win","FR",38
"2015-06-19","17:05:46",65067796,"3.2.1","win","US",39
"2015-06-19","17:06:48",65067794,"3.2.1","win","US",40
"2015-06-19","17:06:47",72469261,"3.2.1","osx","US",41
"2015-06-19","17:07:29",1995443,"3.2.1","src","IN",42
"2015-06-19","17:07:14",65067791,"3.2.1","win","KE",43
"2015-06-19","17:07:50",65067796,"3.2.1","win","GB",44
"2015-06-19","17:07:59",72469264,"3.2.1","osx","US",45
"2015-06-19","17:07:48",65067791,"3.2.1","win","CL",46
"2015-06-19","17:08:54",65067800,"3.2.1","win","DE",47
"2015-06-19","17:09:28",65067796,"3.2.1","win","BR",48
"2015-06-19","17:09:46",65067800,"3.2.1","win","EC",49
"2015-06-19","17:07:51",14617,"2.14.1","win","CN",8
"2015-06-19","17:09:57",65067791,"3.2.1","win","DE",50
"2015-06-19","17:09:59",65067799,"3.2.1","win","US",51
"2015-06-19","17:10:38",65067799,"3.2.1","win","US",52
"2015-06-19","17:10:53",213160,"3.2.1","win","ES",53
"2015-06-19","17:09:22",14616,"3.2.0","win","CN",54
"2015-06-19","17:11:04",59505,"3.2.0","win","CN",13
"2015-06-19","17:11:36",65067799,"3.2.1","win","ES",53
"2015-06-19","17:12:24",29198397,"3.2.1","src","US",55
"2015-06-19","17:12:33",46720,"3.1.2","src","CN",56
"2015-06-19","17:12:20",527,"3.2.1","src","US",55
"2015-06-19","17:12:13",521,"3.2.1","src","CL",57
"2015-06-19","17:12:35",60590,"3.1.2","src","CN",26
"2015-06-19","17:13:12",65067799,"3.2.1","win","US",58
"2015-06-19","17:13:24",1184464,"3.2.1","win","PL",59
"2015-06-19","17:13:35",65067800,"3.2.1","win","US",60
"2015-06-19","17:13:50",78400,"3.2.1","win","CN",61
"2015-06-19","04:00:20",14616,"3.1.1","win","CN",16
"2015-06-19","04:00:34",78606,"3.2.0","win","IN",62
"2015-06-19","04:00:39",79737,"3.2.0","win","CN",63
"2015-06-19","04:00:39",77957,"3.2.0","win","CN",64
"2015-06-19","04:00:40",80640,"3.2.0","win","CN",65
"2015-06-19","04:00:50",64981320,"3.2.0","win","AU",66
"2015-06-19","04:00:38",80640,"3.2.0","win","CN",67
"2015-06-19","04:02:05",17947960,"3.2.0","win","AU",66
"2015-06-19","10:06:12",65067791,"3.2.1","win","ES",68
"2015-06-19","10:06:17",65067796,"3.2.1","win","ES",69
"2015-06-19","10:07:07",12897640,"3.2.0","win","JP",70
"2015-06-19","10:07:14",14616,"2.14.1","win","CN",8
"2015-06-19","10:07:51",55831426,"3.2.1","win","GB",71
"2015-06-19","10:08:08",64981319,"3.2.0","win","JP",70
"2015-06-19","10:07:55",64981319,"3.2.0","win","JP",70
"2015-06-19","10:08:22",65067796,"3.2.1","win","HK",72
"2015-06-19","10:08:54",28656462,"3.1.2","src","FR",73
"2015-06-19","10:09:02",14616,"3.2.0","win","CN",54
"2015-06-19","10:10:35",14616,"3.1.0","src","CN",74
"2015-06-19","10:12:18",65067800,"3.2.1","win","GB",71
"2015-06-19","06:15:45",72469265,"3.2.1","osx","US",75
