"date","time","size","version","os","country","ip_id"
"2015-05-24","00:49:25",14616,"3.2.0","win","CN",1
"2015-05-24","00:49:48",14616,"3.1.1","win","CN",2
"2015-05-24","00:50:18",64981317,"3.2.0","win","CN",3
"2015-05-24","00:50:53",64981320,"3.2.0","win","US",4
"2015-05-24","00:50:04",31175280,"3.2.0","win","PK",5
"2015-05-24","00:53:21",14616,"3.1.2","src","CN",6
"2015-05-24","00:54:32",14616,"3.2.0","win","VN",7
"2015-05-24","00:56:18",64981311,"3.2.0","win","US",8
"2015-05-24","00:56:40",14616,"3.1.3","src","CN",9
"2015-05-24","00:53:37",2280691,"3.2.0","win","PK",5
"2015-05-24","00:55:15",247520,"3.2.0","win","PK",5
"2015-05-24","00:38:49",14617,"3.2.0","win","CN",10
"2015-05-24","00:41:40",1584,"3.1.0","src","CN",2
"2015-05-24","00:42:15",8748313,"3.2.0","osx","DE",11
"2015-05-24","00:41:53",46108,"3.1.3","win","CN",12
"2015-05-24","00:43:58",14621,"3.2.0","win","CN",13
"2015-05-24","00:45:25",64981317,"3.2.0","win","AU",14
"2015-05-24","00:09:07",64981311,"3.2.0","win","MX",15
"2015-05-24","00:09:41",72568685,"3.2.0","osx","US",16
"2015-05-24","00:10:16",14616,"3.1.3","win","CZ",17
"2015-05-24","00:11:52",46336,"3.1.3","win","CN",12
"2015-05-24","00:13:47",28607096,"3.1.1","src","US",18
"2015-05-24","00:13:03",64981320,"3.2.0","win","KR",19
"2015-05-24","00:13:30",14616,"3.1.3","osx","CZ",17
"2015-05-24","00:15:22",64981320,"3.2.0","win","US",20
"2015-05-24","00:15:20",64981317,"3.2.0","win","IE",21
"2015-05-24","00:17:24",72568681,"3.2.0","osx","US",16
"2015-05-24","00:17:36",14616,"3.1.1","win","CN",2
"2015-05-24","00:17:28",64981317,"3.2.0","win","US",22
"2015-05-24","00:19:23",14616,"3.2.0","win","CN",1
"2015-05-24","00:00:44",14617,"3.1.2","src","CN",23
"2015-05-24","00:00:53",64981317,"3.2.0","win","KR",24
"2015-05-24","00:02:17",76510,"3.2.0","win","CN",25
"2015-05-24","00:03:12",14616,"3.0.2","win","CN",2
"2015-05-24","00:04:54",14616,"3.2.0","win","CN",26
"2015-05-24","00:07:18",64981317,"3.2.0","win","US",27
"2015-05-24","00:06:15",64981319,"3.2.0","win","CO",28
"2015-05-24","00:06:49",14616,"3.1.0","src","CN",2
"2015-05-24","00:07:51",14616,"3.1.0","src","CN",2
"2015-05-24","00:29:40",14616,"3.1.2","src","CN",29
"2015-05-24","00:30:35",72568681,"3.2.0","osx","GT",30
"2015-05-24","00:34:55",46720,"3.2.0","win","CN",26
"2015-05-24","00:35:16",72568675,"3.2.0","osx","BR",31
"2015-05-24","00:35:15",14616,"3.0.2","win","CN",2
"2015-05-24","00:36:39",64981317,"3.2.0","win","US",32
"2015-05-24","00:36:50",64981317,"3.2.0","win","US",33
"2015-05-24","00:20:47",46720,"3.1.3","win","CN",34
"2015-05-24","00:20:15",72568681,"3.2.0","osx","DE",35
"2015-05-24","00:20:50",14617,"3.1.2","src","CN",6
"2015-05-24","00:24:30",14616,"3.2.0","win","VN",7
"2015-05-24","00:24:45",46720,"3.2.0","win","CN",36
"2015-05-24","00:25:17",64981312,"3.2.0","win","US",37
"2015-05-24","00:24:46",57920,"3.2.0","win","CN",10
"2015-05-24","00:26:17",64981317,"3.2.0","win","US",38
"2015-05-24","00:27:12",14616,"2.14.1","win","CN",6
"2015-05-24","00:26:40",14616,"3.1.3","src","CN",9
"2015-05-24","00:28:13",14616,"2.14.1","win","CN",6
"2015-05-24","01:39:54",14616,"3.2.0","win","CN",10
"2015-05-24","01:41:40",64981317,"3.2.0","win","CN",39
"2015-05-24","01:42:20",14616,"2.14.1","win","CN",6
"2015-05-24","01:39:54",46720,"3.2.0","win","CN",40
"2015-05-24","01:43:09",14616,"3.1.0","src","CN",41
"2015-05-24","01:41:53",46336,"3.1.3","win","CN",12
"2015-05-24","01:45:01",14616,"2.14.1","win","CN",6
"2015-05-24","01:45:27",24297019,"3.2.0","win","VE",42
"2015-05-24","01:45:15",72568681,"3.2.0","osx","CH",43
"2015-05-24","01:46:19",64981317,"3.2.0","win","US",44
"2015-05-24","01:48:44",64981317,"3.2.0","win","US",45
"2015-05-24","01:48:13",14616,"3.1.0","src","CN",2
"2015-05-24","01:48:34",64981317,"3.2.0","win","CA",46
"2015-05-24","01:02:12",14616,"2.14.1","win","CN",6
"2015-05-24","01:02:49",71677017,"3.1.3","osx","GB",47
"2015-05-24","01:03:14",14616,"3.2.0","win","CN",10
"2015-05-24","01:04:48",14616,"2.14.1","win","CN",6
"2015-05-24","01:06:48",14616,"3.2.0","win","CN",26
"2015-05-24","01:06:38",72568681,"3.2.0","osx","US",48
"2015-05-24","01:07:28",3032,"3.0.2","win","CN",2
"2015-05-24","01:08:07",64981317,"3.2.0","win","CA",49
"2015-05-24","01:08:33",64981317,"3.2.0","win","GB",50
"2015-05-24","01:49:29",45018,"3.2.0","win","CN",1
"2015-05-24","01:46:56",64981317,"3.2.0","win","CH",43
"2015-05-24","01:50:06",72568681,"3.2.0","osx","AU",51
"2015-05-24","01:50:50",46720,"3.1.3","win","CN",34
"2015-05-24","01:53:25",78192,"3.2.0","win","CN",52
"2015-05-24","01:49:49",29125448,"3.2.0","src","PK",5
"2015-05-24","01:54:01",14616,"3.1.1","win","CN",2
"2015-05-24","01:54:33",14616,"3.2.0","win","CN",53
"2015-05-24","01:54:35",14616,"3.2.0","win","VN",7
"2015-05-24","01:56:43",14616,"3.1.3","src","CN",9
"2015-05-24","01:57:40",14616,"3.1.0","src","CN",54
"2015-05-24","01:58:06",14617,"3.1.2","src","CN",6
"2015-05-24","01:59:12",57097900,"3.1.3","win","CN",55
"2015-05-24","01:33:00",64981317,"3.2.0","win","US",56
"2015-05-24","01:32:17",46720,"3.1.3","win","CN",57
"2015-05-24","01:34:48",64981317,"3.2.0","win","CN",58
"2015-05-24","01:35:02",8954240,"3.2.0","win","US",59
"2015-05-24","01:35:03",25563920,"3.2.0","win","US",59
"2015-05-24","01:37:33",72568681,"3.2.0","osx","US",60
"2015-05-24","01:36:49",14616,"3.2.0","win","CN",26
"2015-05-24","01:38:51",14617,"3.2.0","win","CN",10
"2015-05-24","01:39:11",14616,"3.0.2","win","CN",2
"2015-05-24","01:39:29",64981321,"3.2.0","win","US",61
"2015-05-24","01:19:26",14616,"3.2.0","win","CN",1
"2015-05-24","01:19:59",64981317,"3.2.0","win","BR",62
"2015-05-24","01:21:16",14617,"3.1.1","win","CN",2
"2015-05-24","01:21:21",64981320,"3.2.0","win","US",63
"2015-05-24","01:22:28",46720,"3.1.3","win","CN",64
"2015-05-24","01:24:34",46336,"3.2.0","win","VN",7
"2015-05-24","01:25:46",14616,"3.1.2","src","CN",6
"2015-05-24","01:26:46",72568681,"3.2.0","osx","AU",65
"2015-05-24","01:27:50",3724396,"3.2.0","win","CN",66
"2015-05-24","01:26:42",14616,"3.1.3","src","CN",9
"2015-05-24","01:27:50",5047728,"3.2.0","win","CN",66
"2015-05-24","01:27:50",5221628,"3.2.0","win","CN",66
"2015-05-24","01:27:50",4031373,"3.2.0","win","CN",66
"2015-05-24","01:08:28",72568681,"3.2.0","osx","PT",67
"2015-05-24","01:11:53",46336,"3.1.3","win","CN",12
"2015-05-24","01:13:14",64981320,"3.2.0","win","PK",5
"2015-05-24","01:14:20",14616,"3.1.0","src","CN",2
"2015-05-24","01:13:36",14616,"3.1.0","src","CN",2
"2015-05-24","01:15:13",64981317,"3.2.0","win","US",68
"2015-05-24","01:14:28",14616,"3.1.0","src","CN",2
"2015-05-24","01:16:54",72568681,"3.2.0","osx","MX",69
"2015-05-24","01:17:01",64981317,"3.2.0","win","TT",70
"2015-05-24","01:17:15",64981317,"3.2.0","win","US",45
"2015-05-24","01:17:10",64981317,"3.2.0","win","GB",71
"2015-05-24","01:19:12",64981317,"3.2.0","win","US",72
"2015-05-24","02:47:21",46720,"3.1.3","win","CN",73
"2015-05-24","02:47:55",14617,"3.2.0","win","CN",74
"2015-05-24","02:48:10",72568675,"3.2.0","osx","JP",75
"2015-05-24","02:48:47",4481,"3.1.0","src","CN",2
"2015-05-24","02:48:42",24753,"2.14.1","win","CN",6
"2015-05-24","02:48:46",14616,"2.14.1","win","CN",6
"2015-05-24","02:49:32",64355820,"3.2.0","win","IN",76
"2015-05-24","02:47:21",46720,"3.1.3","win","CN",73
"2015-05-24","02:49:32",14616,"3.2.0","win","CN",1
"2015-05-24","02:50:11",29125448,"3.2.0","src","US",77
"2015-05-24","02:51:44",72568675,"3.2.0","osx","CO",78
"2015-05-24","02:51:41",64981320,"3.2.0","win","CA",79
"2015-05-24","02:54:06",64981317,"3.2.0","win","CN",3
"2015-05-24","02:54:39",14616,"3.2.0","win","VN",7
