"date","time","size","version","os","country","ip_id"
"2015-05-31","00:13:00",29125448,"3.2.0","src","AU",1
"2015-05-31","00:10:52",14616,"3.1.3","osx","CZ",2
"2015-05-31","00:14:35",57920,"3.2.0","win","CN",3
"2015-05-31","00:15:57",64981311,"3.2.0","win","AU",4
"2015-05-31","00:17:14",64981317,"3.2.0","win","CO",5
"2015-05-31","00:18:04",72568675,"3.2.0","osx","US",6
"2015-05-31","00:18:55",64981317,"3.2.0","win","US",7
"2015-05-31","00:18:46",14616,"3.1.1","win","CN",8
"2015-05-31","00:20:03",14616,"3.1.2","src","CN",9
"2015-05-31","00:20:35",28656462,"3.1.2","src","US",10
"2015-05-31","00:22:21",14616,"3.1.3","win","CN",11
"2015-05-31","01:32:06",14616,"3.2.0","win","CN",12
"2015-05-31","01:33:34",14616,"3.2.0","win","VN",13
"2015-05-31","01:33:42",14616,"2.14.1","win","CN",9
"2015-05-31","01:35:15",45792,"3.1.3","win","CN",14
"2015-05-31","01:36:10",14616,"3.1.3","win","CN",11
"2015-05-31","01:37:38",14616,"3.2.0","win","CN",15
"2015-05-31","01:38:23",14616,"3.1.3","win","CN",11
"2015-05-31","01:38:50",72568681,"3.2.0","osx","CA",16
"2015-05-31","01:39:11",484888,"3.2.0","win","CN",17
"2015-05-31","01:39:11",451924,"3.2.0","win","CN",17
"2015-05-31","01:39:11",475520,"3.2.0","win","CN",17
"2015-05-31","01:39:11",612549,"3.2.0","win","CN",17
"2015-05-31","01:38:57",14616,"3.1.2","src","CN",18
"2015-05-31","01:39:41",14616,"3.1.0","src","CN",8
"2015-05-31","01:41:03",14616,"3.1.3","win","CN",11
"2015-05-31","03:45:34",46720,"3.2.0","win","CN",19
"2015-05-31","03:45:35",57710,"3.2.0","win","CN",3
"2015-05-31","03:45:43",14616,"3.1.3","win","CN",11
"2015-05-31","03:46:26",64981317,"3.2.0","win","CL",20
"2015-05-31","03:47:31",5984584,"3.2.0","win","JP",21
"2015-05-31","03:47:36",72568681,"3.2.0","osx","CN",22
"2015-05-31","03:47:53",46720,"3.2.0","win","CN",23
"2015-05-31","03:47:52",1312380,"3.2.0","win","IN",24
"2015-05-31","03:48:56",113760,"3.2.0","win","IN",25
"2015-05-31","03:49:33",64981317,"3.2.0","win","IN",24
"2015-05-31","03:50:11",64981321,"3.2.0","win","IN",26
"2015-05-31","03:49:36",14616,"3.1.0","src","CN",8
"2015-05-31","03:52:14",14616,"3.1.3","win","CN",11
"2015-05-31","03:53:01",14617,"3.1.3","win","CN",27
