"date","time","size","version","os","country","ip_id"
"2015-06-14","02:00:41",210453,"3.2.0","osx","US",1
"2015-06-14","02:00:36",45832,"3.2.0","win","CN",2
"2015-06-14","02:00:46",13169,"3.1.1","win","CN",3
"2015-06-14","02:02:28",64981312,"3.2.0","win","JP",4
"2015-06-14","02:01:36",14617,"3.0.2","win","CN",3
"2015-06-14","02:03:05",4481,"3.1.3","win","CN",5
"2015-06-14","02:03:18",14616,"3.1.3","win","CN",6
"2015-06-14","02:06:03",79780,"3.2.0","win","CN",7
"2015-06-14","02:06:03",79781,"3.2.0","win","CN",7
"2015-06-14","02:06:03",81088,"3.2.0","win","CN",7
"2015-06-14","02:06:03",80853,"3.2.0","win","CN",7
"2015-06-14","07:55:30",64981320,"3.2.0","win","DE",8
"2015-06-14","07:56:18",14616,"3.1.0","src","CN",9
"2015-06-14","07:56:57",72568681,"3.2.0","osx","CN",10
"2015-06-14","07:57:55",192853,"3.2.0","win","DE",11
"2015-06-14","07:59:55",14616,"3.2.0","win","CN",12
"2015-06-14","20:04:24",14617,"3.1.3","win","CN",5
"2015-06-14","20:08:21",14617,"3.1.3","win","CN",13
"2015-06-14","20:10:05",64981320,"3.2.0","win","FR",14
"2015-06-14","20:11:47",72568675,"3.2.0","osx","PL",15
"2015-06-14","20:12:08",54616220,"3.2.0","win","HU",16
"2015-06-14","20:12:03",64981317,"3.2.0","win","AU",17
"2015-06-14","20:12:44",14617,"3.1.3","win","CN",13
"2015-06-14","20:12:46",14617,"3.1.3","win","CN",13
"2015-06-14","20:13:44",64981317,"3.2.0","win","DE",18
"2015-06-14","20:14:06",64981317,"3.2.0","win","CL",19
"2015-06-14","20:11:24",14616,"3.0.2","src","CN",20
"2015-06-14","20:15:13",64981321,"3.2.0","win","CA",21
"2015-06-14","20:15:12",14616,"3.1.3","win","CN",13
"2015-06-14","20:16:19",64981317,"3.2.0","win","PL",22
"2015-06-14","20:16:22",72568681,"3.2.0","osx","EC",23
"2015-06-14","20:16:56",64981320,"3.2.0","win","DE",18
"2015-06-14","14:41:51",14616,"3.1.3","win","CN",6
"2015-06-14","14:43:25",27417600,"3.1.3","win","NG",24
"2015-06-14","14:43:27",72568681,"3.2.0","osx","CN",25
"2015-06-14","14:43:50",64981312,"3.2.0","win","FR",26
"2015-06-14","14:43:33",14617,"3.0.2","src","CN",27
