"date","time","size","version","os","country","ip_id"
"2015-05-25","00:34:54",14616,"3.1.1","win","CN",1
"2015-05-25","00:34:35",14617,"2.14.1","win","CN",2
"2015-05-25","00:33:34",46468,"3.1.3","win","CN",3
"2015-05-25","00:35:12",45794,"3.1.3","win","CN",4
"2015-05-25","00:35:59",46720,"3.2.0","win","CN",5
"2015-05-25","00:34:00",46468,"3.1.3","win","CN",4
"2015-05-25","00:34:45",46720,"3.1.3","win","CN",3
"2015-05-25","00:35:58",46720,"3.1.3","win","CN",3
"2015-05-25","00:36:25",46720,"3.1.3","win","CN",4
"2015-05-25","00:37:08",45794,"3.1.3","win","CN",3
"2015-05-25","00:38:21",46467,"3.1.3","win","CN",3
"2015-05-25","00:37:39",45795,"3.1.3","win","CN",4
"2015-05-25","00:39:11",46720,"3.2.0","win","CN",6
"2015-05-25","00:39:34",45795,"3.1.3","win","CN",3
"2015-05-25","00:39:38",14616,"3.1.0","src","CN",1
"2015-05-25","00:40:41",64981317,"3.2.0","win","EC",7
"2015-05-25","00:40:41",64981317,"3.2.0","win","GT",8
"2015-05-25","00:40:07",45795,"3.1.3","win","CN",4
"2015-05-25","00:38:52",46720,"3.1.3","win","CN",4
"2015-05-25","00:40:23",14616,"3.1.0","src","CN",1
"2015-05-25","00:42:00",46720,"3.1.3","win","CN",3
"2015-05-25","00:39:22",983592,"3.2.0","win","HK",9
"2015-05-25","00:41:01",64981317,"3.2.0","win","FR",10
"2015-05-25","00:40:47",46720,"3.1.3","win","CN",3
"2015-05-25","00:43:13",46467,"3.1.3","win","CN",3
"2015-05-25","00:43:06",46336,"3.1.3","win","CN",11
"2015-05-25","00:43:30",14617,"3.1.0","src","CN",12
"2015-05-25","00:41:20",46720,"3.1.3","win","CN",4
"2015-05-25","00:42:32",46720,"3.1.3","win","CN",4
"2015-05-25","00:43:45",45795,"3.1.3","win","CN",4
"2015-05-25","00:43:43",27832008,"3.2.0","win","CN",13
"2015-05-25","00:13:06",64981320,"3.2.0","win","BR",14
"2015-05-25","00:13:05",46336,"3.1.3","win","CN",11
"2015-05-25","00:12:04",45795,"3.1.3","win","CN",4
"2015-05-25","00:13:33",44971076,"3.2.0","win","CN",15
"2015-05-25","00:12:46",46720,"3.1.3","win","CN",3
"2015-05-25","00:14:33",45795,"3.1.3","win","CN",4
"2015-05-25","00:11:34",46720,"3.1.3","win","CN",3
"2015-05-25","00:15:44",46467,"3.1.3","win","CN",4
"2015-05-25","00:13:22",14616,"3.1.3","win","CZ",16
"2015-05-25","00:14:01",46720,"3.1.3","win","CN",3
"2015-05-25","00:13:17",46467,"3.1.3","win","CN",4
