"date","time","size","version","os","country","ip_id"
"2015-06-08","00:29:10",64981317,"3.2.0","win","KR",1
"2015-06-08","00:32:11",64981306,"3.2.0","win","US",2
"2015-06-08","00:33:52",64981317,"3.2.0","win","GB",3
"2015-06-08","00:55:00",45794,"3.1.3","win","CN",4
"2015-06-08","00:55:10",14616,"3.1.0","src","CN",5
"2015-06-08","00:55:54",64981316,"3.2.0","win","CN",6
"2015-06-08","00:57:37",64981317,"3.2.0","win","KR",7
"2015-06-08","00:58:17",45794,"3.1.3","win","CN",4
"2015-06-08","00:59:38",64981317,"3.2.0","win","JP",8
"2015-06-08","00:59:36",64981321,"3.2.0","win","HK",9
"2015-06-08","00:59:34",14616,"3.1.2","src","CN",10
"2015-06-08","00:15:13",78400,"3.2.0","win","ML",11
"2015-06-08","00:19:11",64981317,"3.2.0","win","GR",12
"2015-06-08","00:21:36",64981317,"3.2.0","win","US",13
"2015-06-08","00:01:23",16931332,"3.1.0","osx","US",14
"2015-06-08","00:01:17",1724345,"3.2.0","win","CN",15
"2015-06-08","00:00:53",46720,"3.1.3","win","CN",16
"2015-06-08","00:01:54",78192,"3.2.0","win","CN",17
"2015-06-08","00:02:20",67147,"3.2.0","win","CN",18
"2015-06-08","00:02:50",14616,"3.2.0","win","CN",19
"2015-06-08","00:02:32",14616,"3.1.2","src","CN",20
"2015-06-08","00:02:29",46720,"3.1.3","win","CN",4
"2015-06-08","00:03:53",79640,"3.2.0","win","CN",21
"2015-06-08","00:04:17",79640,"3.2.0","win","CN",21
"2015-06-08","00:04:21",67833,"3.2.0","win","CN",22
"2015-06-08","00:05:00",69504,"3.2.0","win","CN",23
"2015-06-08","00:26:32",14616,"3.1.2","src","CN",10
"2015-06-08","00:25:22",46720,"3.1.3","win","CN",4
"2015-06-08","00:26:46",14616,"3.2.0","win","CN",24
"2015-06-08","00:27:12",46720,"3.1.3","win","CN",16
"2015-06-08","00:28:40",45794,"3.1.3","win","CN",4
"2015-06-08","00:30:27",45794,"3.1.3","win","CN",16
"2015-06-08","00:31:33",64981317,"3.2.0","win","MN",25
"2015-06-08","00:32:51",14616,"3.2.0","win","CN",19
"2015-06-08","00:33:41",46720,"3.1.3","win","CN",16
"2015-06-08","00:15:35",45795,"3.1.3","win","CN",4
"2015-06-08","00:16:58",14616,"3.1.3","osx","CZ",26
"2015-06-08","00:17:49",45019,"3.2.0","win","CN",27
"2015-06-08","00:18:49",45793,"3.1.3","win","CN",4
"2015-06-08","00:20:25",57004,"3.1.3","win","CN",28
"2015-06-08","00:20:36",45794,"3.1.3","win","CN",16
"2015-06-08","00:21:28",14617,"3.2.0","win","CN",29
"2015-06-08","00:22:03",45794,"3.1.3","win","CN",4
"2015-06-08","00:22:36",57920,"3.1.3","win","CN",28
"2015-06-08","00:22:34",45794,"3.1.3","win","CN",30
"2015-06-08","00:23:12",64981317,"3.2.0","win","JP",31
"2015-06-08","00:22:58",14616,"3.1.1","win","CN",5
"2015-06-08","00:22:58",14616,"3.0.2","win","CN",5
"2015-06-08","00:23:54",45794,"3.1.3","win","CN",16
"2015-06-08","00:25:09",14616,"3.1.0","src","CN",5
"2015-06-08","00:52:22",64981317,"3.2.0","win","US",32
"2015-06-08","00:53:36",64981317,"3.2.0","win","CA",33
"2015-06-08","00:35:14",46720,"3.1.3","win","CN",4
"2015-06-08","00:36:08",14617,"3.0.2","src","CN",34
"2015-06-08","00:36:55",46720,"3.1.3","win","CN",16
"2015-06-08","00:37:37",68970128,"3.0.3","osx","JP",35
"2015-06-08","00:38:57",14616,"2.14.1","win","CN",10
"2015-06-08","00:38:53",14616,"3.0.2","src","CN",10
"2015-06-08","00:39:19",46467,"3.1.3","win","CN",36
"2015-06-08","00:38:31",46720,"3.1.3","win","CN",4
"2015-06-08","00:40:11",45795,"3.1.3","win","CN",16
"2015-06-08","00:41:49",46467,"3.1.3","win","CN",4
"2015-06-08","00:43:49",46336,"3.1.3","win","CN",37
"2015-06-08","00:44:06",14616,"3.2.0","win","VN",38
"2015-06-08","00:43:29",46467,"3.1.3","win","CN",16
"2015-06-08","00:43:51",46107,"3.1.3","win","CN",37
