"date","time","size","version","os","country","ip_id"
"2015-05-17","00:46:16",14616,"3.0.2","win","CN",1
"2015-05-17","00:49:39",14617,"3.1.3","win","CN",2
"2015-05-17","00:51:15",72568681,"3.2.0","osx","HK",3
"2015-05-17","00:53:05",14616,"3.2.0","win","CN",4
"2015-05-17","00:53:06",14616,"3.2.0","win","CN",4
"2015-05-17","00:54:16",72568681,"3.2.0","osx","HK",5
"2015-05-17","00:55:27",72568681,"3.2.0","osx","CO",6
"2015-05-17","00:57:50",11343024,"3.2.0","win","TW",7
"2015-05-17","00:58:01",64981318,"3.2.0","win","TW",7
"2015-05-17","00:58:31",14616,"3.1.3","win","CN",8
"2015-05-17","00:29:55",14616,"3.1.2","src","CN",9
"2015-05-17","00:31:45",64981317,"3.2.0","win","BR",10
"2015-05-17","00:33:28",14616,"3.2.0","win","CN",11
"2015-05-17","00:33:30",14616,"3.1.1","win","CN",1
"2015-05-17","00:35:33",55971,"3.2.0","win","CN",12
"2015-05-17","00:35:35",57600,"3.2.0","win","CN",12
"2015-05-17","00:35:55",83520,"3.2.0","win","CN",12
"2015-05-17","00:37:19",14616,"3.2.0","win","CN",13
"2015-05-17","00:34:21",14616,"2.14.1","win","CN",9
"2015-05-17","00:38:05",14616,"3.1.3","src","CN",14
"2015-05-17","00:35:57",14616,"3.2.0","win","VN",15
"2015-05-17","00:38:27",14616,"3.2.0","win","CN",16
"2015-05-17","00:08:03",14616,"3.1.3","src","CN",14
"2015-05-17","00:09:45",14616,"3.1.3","osx","CZ",17
"2015-05-17","00:08:39",14616,"3.1.0","src","CN",1
"2015-05-17","00:08:25",14616,"3.2.0","win","CN",16
"2015-05-17","00:07:49",14616,"3.1.0","src","CN",18
"2015-05-17","00:13:47",64981317,"3.2.0","win","US",19
"2015-05-17","00:14:52",89594,"3.1.3","win","CN",20
"2015-05-17","00:16:35",14616,"3.1.3","win","CN",8
"2015-05-17","00:16:31",64981317,"3.2.0","win","SN",21
"2015-05-17","00:16:34",46720,"3.1.3","win","CN",22
"2015-05-17","00:02:48",64981317,"3.2.0","win","AO",23
"2015-05-17","00:04:28",64981317,"3.2.0","win","US",24
"2015-05-17","00:04:49",1442344,"3.1.3","win","RU",25
"2015-05-17","00:03:29",14616,"3.1.1","win","CN",1
"2015-05-17","00:04:21",14616,"2.14.1","win","CN",9
"2015-05-17","00:05:28",64981317,"3.2.0","win","AU",26
"2015-05-17","00:05:56",14617,"3.2.0","win","VN",15
"2015-05-17","00:07:17",14616,"3.2.0","win","CN",13
"2015-05-17","00:06:37",14616,"3.1.3","win","CZ",17
"2015-05-17","00:59:57",14617,"3.1.2","src","CN",9
"2015-05-17","00:59:54",64981317,"3.2.0","win","US",27
"2015-05-17","00:59:10",14616,"3.1.3","win","CN",28
"2015-05-17","00:38:40",14616,"3.1.0","src","CN",1
"2015-05-17","00:41:06",64981306,"3.2.0","win","CN",29
