"date","time","size","version","os","country","ip_id"
"2015-06-15","00:28:18",64981317,"3.2.0","win","DO",1
"2015-06-15","00:29:06",72568675,"3.2.0","osx","IN",2
"2015-06-15","00:30:15",64981317,"3.2.0","win","US",3
"2015-06-15","00:28:51",2032768,"3.2.0","win","CN",4
"2015-06-15","00:30:31",64981321,"3.2.0","win","CL",5
"2015-06-15","00:30:18",14616,"3.1.3","win","CN",6
"2015-06-15","00:30:30",64981317,"3.2.0","win","KR",7
"2015-06-15","00:30:45",14616,"3.2.0","win","CN",8
"2015-06-15","00:30:46",14616,"3.1.0","src","CN",9
"2015-06-15","00:31:49",14617,"3.1.1","win","CN",9
"2015-06-15","00:32:04",64981317,"3.2.0","win","US",10
"2015-06-15","00:32:20",45803,"3.2.0","win","CN",11
"2015-06-15","00:32:29",14617,"3.1.2","src","CN",12
"2015-06-15","00:32:48",14616,"3.0.2","win","CN",9
"2015-06-15","00:32:51",64981312,"3.2.0","win","US",13
"2015-06-15","00:32:18",14617,"3.1.3","win","CN",14
"2015-06-15","00:33:45",64981311,"3.2.0","win","CO",15
"2015-06-15","00:33:43",72568681,"3.2.0","osx","CA",16
"2015-06-15","00:34:31",64981317,"3.2.0","win","US",17
"2015-06-15","00:34:50",14616,"3.1.2","src","CN",18
"2015-06-15","00:34:34",14617,"3.1.3","win","CN",6
"2015-06-15","00:35:32",13169,"3.1.2","src","CN",19
"2015-06-15","00:35:16",14617,"3.2.0","win","CN",20
"2015-06-15","00:34:36",14616,"3.1.3","win","CN",21
"2015-06-15","00:36:17",29125448,"3.2.0","src","US",22
"2015-06-15","00:36:16",521,"3.2.0","src","US",22
"2015-06-15","00:36:54",72568685,"3.2.0","osx","US",23
"2015-06-15","00:46:56",14616,"3.1.2","src","CN",24
"2015-06-15","00:47:48",338912,"3.2.0","win","AU",25
"2015-06-15","00:48:18",64981310,"3.2.0","win","AU",25
"2015-06-15","00:48:10",14616,"3.1.3","win","CN",26
"2015-06-15","00:48:07",14616,"3.1.3","win","CN",27
"2015-06-15","00:48:42",14616,"3.1.3","win","CN",28
"2015-06-15","00:49:25",64981321,"3.2.0","win","KR",29
"2015-06-15","00:50:10",46720,"3.2.0","win","CN",30
"2015-06-15","00:50:34",20409,"3.1.2","src","CN",31
"2015-06-15","00:51:06",64981317,"3.2.0","win","MY",32
"2015-06-15","00:50:41",14616,"2.14.1","win","CN",31
"2015-06-15","00:51:44",64981317,"3.2.0","win","KR",33
"2015-06-15","00:52:58",60816,"3.2.0","win","US",34
"2015-06-15","00:53:36",14616,"3.2.0","win","VN",35
"2015-06-15","00:53:52",64981317,"3.2.0","win","US",34
"2015-06-15","00:53:01",14617,"3.1.3","win","CN",28
"2015-06-15","00:53:43",430700,"3.2.0","win","CM",36
"2015-06-15","00:54:38",674800,"3.2.0","win","CN",37
"2015-06-15","00:54:41",238000,"3.2.0","win","CN",37
"2015-06-15","00:55:33",64981321,"3.2.0","win","US",38
"2015-06-15","00:56:05",64981306,"3.2.0","win","CN",39
"2015-06-15","00:57:15",72568675,"3.2.0","osx","AU",40
"2015-06-15","00:19:22",14616,"3.1.3","win","CN",14
"2015-06-15","00:19:25",3394173,"3.2.0","win","CN",41
"2015-06-15","00:19:25",12713040,"3.2.0","win","CN",41
"2015-06-15","00:19:35",14617,"3.1.0","src","CN",42
"2015-06-15","00:19:26",727100,"3.2.0","win","CN",41
"2015-06-15","00:19:25",38644740,"3.2.0","win","CN",41
"2015-06-15","00:20:39",14616,"2.14.1","win","CN",31
"2015-06-15","00:20:33",14616,"3.1.2","src","CN",31
"2015-06-15","00:22:23",72568681,"3.2.0","osx","US",43
"2015-06-15","00:21:44",14616,"3.1.3","win","CN",6
"2015-06-15","00:23:34",46336,"3.2.0","win","VN",35
