"date","time","size","version","os","country","ip_id"
"2015-05-10","00:40:54",64981317,"3.2.0","win","VN",1
"2015-05-10","00:43:12",14616,"3.1.0","src","CN",2
"2015-05-10","00:43:20",46720,"2.14.1","win","CN",3
"2015-05-10","00:42:27",64981317,"3.2.0","win","AU",4
"2015-05-10","00:43:55",14003623,"3.2.0","win","US",5
"2015-05-10","00:43:53",1857660,"3.2.0","win","CN",6
"2015-05-10","00:43:53",992800,"3.2.0","win","CN",6
"2015-05-10","00:43:53",1599240,"3.2.0","win","CN",6
"2015-05-10","00:43:53",1248732,"3.2.0","win","CN",6
"2015-05-10","00:45:47",64981317,"3.2.0","win","US",7
"2015-05-10","00:45:11",64981319,"3.2.0","win","AU",8
"2015-05-10","00:46:40",47939,"3.2.0","win","CN",9
"2015-05-10","00:48:45",72568681,"3.2.0","osx","US",10
"2015-05-10","00:49:07",64981317,"3.2.0","win","US",10
"2015-05-10","00:49:58",28656462,"3.1.2","src","NZ",11
"2015-05-10","00:52:07",72568675,"latest","osx","AU",12
"2015-05-10","00:52:29",10273,"3.1.3","src","CN",13
"2015-05-10","00:54:13",14616,"3.2.0","win","CN",14
"2015-05-10","00:55:01",14616,"3.0.2","win","CN",2
"2015-05-10","00:55:58",64981317,"3.2.0","win","US",15
"2015-05-10","00:56:01",64981317,"3.2.0","win","US",16
"2015-05-10","00:56:11",45422,"3.2.0","win","VN",17
"2015-05-10","00:56:11",64981311,"3.2.0","win","AU",18
"2015-05-10","00:56:48",72568681,"3.2.0","osx","US",19
"2015-05-10","00:58:50",10614036,"2.5.1","src","MX",20
"2015-05-10","00:58:18",64981312,"3.2.0","win","MY",21
"2015-05-10","00:22:28",33440,"3.1.3","src","CN",13
"2015-05-10","00:23:45",64981320,"3.2.0","win","US",22
"2015-05-10","00:24:12",45018,"3.2.0","win","CN",14
"2015-05-10","00:23:43",72568681,"3.2.0","osx","AU",23
"2015-05-10","00:24:29",9760056,"3.2.0","win","US",24
"2015-05-10","00:24:59",14616,"3.0.2","win","CN",2
"2015-05-10","00:24:51",71677023,"3.1.3","osx","CA",25
"2015-05-10","00:26:43",1440536,"3.2.0","win","US",26
"2015-05-10","00:26:10",45422,"3.2.0","win","VN",17
"2015-05-10","00:26:51",64981312,"3.2.0","win","US",27
"2015-05-10","00:27:38",7581780,"3.2.0","win","JP",28
"2015-05-10","00:28:00",64981317,"3.2.0","win","JP",28
"2015-05-10","00:30:37",64981315,"3.2.0","win","US",5
"2015-05-10","00:30:58",64981320,"3.2.0","win","CN",29
"2015-05-10","00:31:47",314436,"3.2.0","win","CN",30
"2015-05-10","00:33:39",76859,"3.2.0","win","CN",31
"2015-05-10","00:34:01",369176,"3.2.0","win","CN",32
"2015-05-10","00:35:28",14616,"3.1.1","win","CN",2
"2015-05-10","00:33:42",45423,"3.1.3","win","CN",33
"2015-05-10","00:37:53",64981316,"3.2.0","win","US",5
"2015-05-10","00:37:31",33440,"3.1.2","src","CN",3
"2015-05-10","00:38:19",22675625,"2.14.0","src","US",34
"2015-05-10","00:39:23",12216553,"3.2.0","win","US",24
"2015-05-10","00:40:51",13666224,"3.2.0","win","US",35
"2015-05-10","00:12:07",64981317,"3.2.0","win","VE",36
"2015-05-10","00:13:29",14616,"3.1.3","osx","CZ",37
"2015-05-10","00:13:17",14616,"2.14.1","win","CN",3
"2015-05-10","00:14:15",72568681,"3.2.0","osx","CN",38
"2015-05-10","00:13:10",14616,"3.1.0","src","CN",2
"2015-05-10","00:16:01",64981320,"3.2.0","win","US",39
"2015-05-10","00:17:16",64981319,"3.2.0","win","CA",40
"2015-05-10","00:16:38",14616,"3.2.0","win","CN",9
"2015-05-10","00:19:11",64981317,"3.2.0","win","US",41
"2015-05-10","00:20:37",64981312,"3.2.0","win","US",5
"2015-05-10","00:20:37",78840,"3.2.0","win","CN",42
"2015-05-10","00:21:10",46131,"3.2.0","win","CN",43
"2015-05-10","00:03:36",2320980,"3.1.3","osx","TH",44
"2015-05-10","00:03:38",4164681,"3.1.3","osx","TH",44
"2015-05-10","00:04:47",29359984,"3.1.3","osx","TH",44
"2015-05-10","00:03:46",14616,"3.1.0","src","CN",45
"2015-05-10","00:05:51",72568681,"3.2.0","osx","JP",46
"2015-05-10","00:03:39",46336,"3.1.3","win","CN",33
"2015-05-10","00:05:27",14616,"3.1.1","win","CN",2
"2015-05-10","00:07:28",33440,"3.1.2","src","CN",3
"2015-05-10","00:08:36",64981317,"3.2.0","win","MX",47
