"date","time","size","version","os","country","ip_id"
"2015-06-02","21:39:02",64981317,"3.2.0","win","AT",1
"2015-06-02","21:37:55",14616,"3.1.0","src","CN",2
"2015-06-02","21:39:53",64981317,"3.2.0","win","KE",3
"2015-06-02","21:40:12",5308232,"3.2.0","win","JP",4
"2015-06-02","21:40:33",72568681,"3.2.0","osx","DO",5
"2015-06-02","21:41:13",64981312,"3.2.0","win","GB",6
"2015-06-02","21:40:48",46491,"3.2.0","win","CN",7
"2015-06-02","21:42:08",64981320,"3.2.0","win","US",8
"2015-06-02","21:41:01",14616,"3.2.0","win","CN",9
"2015-06-02","21:42:04",72568685,"3.2.0","osx","US",10
"2015-06-02","21:42:48",72568681,"3.2.0","osx","DE",11
"2015-06-02","21:43:47",72568681,"3.2.0","osx","CA",12
"2015-06-02","21:44:17",4569444,"3.2.0","win","PT",13
"2015-06-02","21:44:29",63235520,"3.2.0","win","US",14
"2015-06-02","21:44:51",64981317,"3.2.0","win","MX",15
"2015-06-02","21:44:28",60588,"3.1.3","win","CN",16
"2015-06-02","21:42:27",14617,"3.1.2","src","CN",17
"2015-06-02","21:45:38",72568681,"3.2.0","osx","FR",18
"2015-06-02","21:46:01",64981321,"3.2.0","win","US",19
"2015-06-02","21:46:01",71677023,"3.1.3","osx","US",20
"2015-06-02","21:47:02",57920,"3.1.3","win","CN",16
"2015-06-02","21:46:11",14616,"3.1.0","src","CN",21
"2015-06-02","21:45:57",14616,"3.1.2","src","CN",22
"2015-06-02","21:49:27",64981320,"3.2.0","win","PL",23
"2015-06-02","21:49:28",64981320,"3.2.0","win","US",24
"2015-06-02","21:49:37",72568684,"3.2.0","osx","US",25
"2015-06-02","04:34:23",64981317,"3.2.0","win","IN",26
"2015-06-02","04:34:45",29125454,"3.2.0","src","CN",27
"2015-06-02","04:34:33",64981321,"3.2.0","win","JP",28
"2015-06-02","04:34:37",46720,"3.2.0","win","CN",29
"2015-06-02","04:35:55",64981317,"3.2.0","win","US",30
"2015-06-02","04:36:19",45832,"3.2.0","win","CN",31
"2015-06-02","04:36:32",45422,"3.2.0","win","VN",32
"2015-06-02","04:38:23",14616,"2.14.1","win","CN",22
"2015-06-02","04:40:01",286499,"3.2.0","win","JP",33
"2015-06-02","04:40:33",72568681,"3.2.0","osx","JP",34
"2015-06-02","04:40:52",64981320,"3.2.0","win","CO",35
"2015-06-02","04:40:11",45795,"3.2.0","win","CN",9
"2015-06-02","04:39:40",688176,"3.2.0","src","KR",36
"2015-06-02","04:41:53",72568675,"3.2.0","osx","MX",37
"2015-06-02","04:41:58",306976,"3.2.0","win","JP",33
"2015-06-02","04:41:47",56930679,"3.1.2","win","KR",38
"2015-06-02","04:42:52",14616,"3.1.0","src","CN",21
"2015-06-02","04:43:19",72568681,"3.2.0","osx","CO",39
"2015-06-02","04:42:47",14616,"3.1.3","win","CN",40
"2015-06-02","02:25:58",64981317,"3.2.0","win","US",41
"2015-06-02","02:26:10",64981317,"3.2.0","win","US",42
"2015-06-02","02:25:38",14616,"3.1.3","src","CN",43
"2015-06-02","02:26:29",14616,"3.0.2","win","CN",21
"2015-06-02","02:26:29",14616,"3.1.1","win","CN",21
"2015-06-02","02:26:55",78848,"3.2.0","win","CN",44
"2015-06-02","02:28:06",14617,"3.0.2","src","CN",45
"2015-06-02","02:28:13",14616,"3.1.3","win","CN",46
"2015-06-02","02:28:39",72568681,"3.2.0","osx","US",47
"2015-06-02","02:30:09",64981316,"3.2.0","win","MX",48
"2015-06-02","02:32:33",72568675,"3.2.0","osx","BR",49
"2015-06-02","02:32:44",64981321,"3.2.0","win","CN",50
"2015-06-02","02:33:48",64981321,"3.2.0","win","CN",51
"2015-06-02","02:33:41",1113000,"3.2.0","win","LK",52
"2015-06-02","02:34:13",23554616,"3.2.0","osx","US",53
"2015-06-02","02:34:30",14616,"2.14.1","win","CN",22
"2015-06-02","16:17:28",64981321,"3.2.0","win","GB",54
